invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,weekday,hour,total_amount
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,1900-01-01 13:08:00,Ewallet,9.1,0.48,Wednesday,13,522.9
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,1900-01-01 10:29:00,Cash,9.6,0.48,Saturday,10,76.4
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,1900-01-01 13:23:00,Credit card,7.4,0.33,Sunday,13,324.4
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,1900-01-01 20:33:00,Ewallet,8.4,0.33,Sunday,20,465.8
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,1900-01-01 10:37:00,Ewallet,5.3,0.48,Friday,10,604.2
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,1900-01-01 18:30:00,Ewallet,4.1,0.48,Monday,18,597.8
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,1900-01-01 14:36:00,Ewallet,5.8,0.33,Monday,14,413.1
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,1900-01-01 11:38:00,Ewallet,8.0,0.18,Sunday,11,735.6
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,1900-01-01 17:15:00,Credit card,7.2,0.33,Tuesday,17,72.6
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,1900-01-01 13:27:00,Credit card,5.9,0.33,Wednesday,13,164.6
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,1900-01-01 18:07:00,Ewallet,4.5,0.48,Sunday,18,58.0
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,1900-01-01 17:03:00,Cash,6.8,0.48,Tuesday,17,102.1
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,1900-01-01 10:25:00,Ewallet,7.1,0.48,Monday,10,234.8
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,1900-01-01 16:48:00,Ewallet,8.2,0.48,Tuesday,16,431.9
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,1900-01-01 19:21:00,Cash,5.7,0.48,Friday,19,713.8
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,1900-01-01 16:19:00,Cash,4.5,0.48,Tuesday,16,562.4
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,1900-01-01 11:03:00,Credit card,4.6,0.48,Sunday,11,482.6
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,1900-01-01 10:39:00,Credit card,6.9,0.33,Tuesday,10,435.7
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,1900-01-01 18:00:00,Credit card,8.6,0.57,Monday,18,164.1
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,1900-01-01 15:30:00,Ewallet,4.4,0.48,Sunday,15,80.6
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,1900-01-01 11:24:00,Ewallet,4.8,0.48,Monday,11,430.2
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,1900-01-01 10:40:00,Ewallet,5.1,0.33,Friday,10,264.0
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,1900-01-01 12:20:00,Credit card,4.4,0.33,Friday,12,66.4
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,1900-01-01 11:15:00,Ewallet,9.9,0.33,Sunday,11,172.8
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,1900-01-01 17:36:00,Ewallet,6.0,0.48,Sunday,17,265.9
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,1900-01-01 19:20:00,Credit card,8.5,0.36,Friday,19,420.8
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,1900-01-01 15:31:00,Cash,6.7,0.33,Friday,15,33.6
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,1900-01-01 12:17:00,Credit card,7.7,0.48,Thursday,12,175.4
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,1900-01-01 19:48:00,Cash,9.6,0.48,Friday,19,441.8
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,1900-01-01 15:36:00,Cash,7.4,0.33,Friday,15,224.1
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,1900-01-01 19:39:00,Credit card,4.8,0.33,Monday,19,470.7
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,1900-01-01 12:43:00,Cash,4.5,0.18,Monday,12,702.7
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,1900-01-01 14:49:00,Cash,5.1,0.48,Tuesday,14,670.3
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,1900-01-01 10:12:00,Credit card,5.1,0.18,Friday,10,193.2
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,1900-01-01 10:42:00,Ewallet,7.5,0.48,Sunday,10,397.7
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,1900-01-01 12:28:00,Ewallet,6.8,0.33,Monday,12,68.2
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,1900-01-01 19:15:00,Ewallet,7.0,0.48,Thursday,19,313.1
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,1900-01-01 17:17:00,Ewallet,4.7,0.33,Tuesday,17,548.0
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,1900-01-01 13:24:00,Ewallet,7.6,0.33,Saturday,13,439.4
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,1900-01-01 13:01:00,Cash,7.7,0.48,Sunday,13,241.0
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,1900-01-01 18:45:00,Ewallet,7.9,0.48,Thursday,18,86.8
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,1900-01-01 10:11:00,Cash,6.3,0.33,Saturday,10,112.3
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,1900-01-01 13:03:00,Cash,5.6,0.33,Friday,13,414.8
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,1900-01-01 20:39:00,Cash,7.6,0.48,Wednesday,20,789.6
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,1900-01-01 19:47:00,Cash,7.2,0.48,Saturday,19,30.8
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,1900-01-01 18:00:00,Cash,9.5,0.33,Tuesday,18,375.9
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,1900-01-01 17:24:00,Credit card,8.4,0.33,Wednesday,17,510.3
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,1900-01-01 15:47:00,Ewallet,4.1,0.48,Sunday,15,180.1
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,1900-01-01 12:45:00,Credit card,8.1,0.33,Wednesday,12,113.6
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,1900-01-01 17:08:00,Ewallet,7.9,0.48,Tuesday,17,826.3
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,1900-01-01 10:19:00,Cash,9.5,0.33,Saturday,10,639.9
